Caste,Marks,Selection Percentage,Chance,School Type,Total Marks,Gender,Selection Chance,Result
BCD,536.0,64.95,Moderate Chance,Government,540.0,Male,Less Chance,Not Selected
BCD,477.0,57.85,Less Chance,Government,481.0,Male,Less Chance,Not Selected
BCD,524.0,63.26,Moderate Chance,Private,526.0,Female,Less Chance,Not Selected
BCD,489.0,59.3,Less Chance,Government,493.0,Male,Less Chance,Not Selected
BCB,567.0,69.27,Moderate Chance,Government,573.0,Female,Moderate Chance,Not Selected
BCD,535.0,64.35,Moderate Chance,Private,535.0,Male,Less Chance,Not Selected
OC,549.0,66.52,Moderate Chance,Government,555.0,Female,Less Chance,Not Selected
BCD,440.0,53.64,Less Chance,Government,446.0,Female,Less Chance,Not Selected
BCD,591.0,96.67,High Chance,Government,597.0,Female,High Chance,Selected
BCA,551.0,66.98,Moderate Chance,Government,555.0,Male,Less Chance,Not Selected
BCD,416.0,50.52,Less Chance,Government,420.0,Male,Less Chance,Not Selected
BCA,407.0,49.6,Less Chance,Government,411.0,Male,Less Chance,Not Selected
BCD,578.0,82.22,Moderate Chance,Government,584.0,Female,High Chance,Selected
OC,431.0,52.14,Less Chance,Government,435.0,Male,Less Chance,Not Selected
BCD,409.0,49.91,Less Chance,Government,415.0,Female,Less Chance,Not Selected
BCD,493.0,59.78,Less Chance,Government,497.0,Male,Less Chance,Not Selected
BCD,418.0,51.0,Less Chance,Government,424.0,Female,Less Chance,Not Selected
BCD,535.0,65.07,Moderate Chance,Government,541.0,Female,Less Chance,Not Selected
BCD,529.0,64.35,Moderate Chance,Government,535.0,Female,Less Chance,Not Selected
BCD,488.0,59.42,Less Chance,Government,494.0,Female,Less Chance,Not Selected
BCD,450.0,54.12,Less Chance,Private,450.0,Male,Less Chance,Not Selected
BCA,558.0,67.83,Moderate Chance,Government,562.0,Male,Moderate Chance,Not Selected
BCA,484.0,58.66,Less Chance,Private,486.0,Female,Less Chance,Not Selected
BCD,469.0,56.89,Less Chance,Government,473.0,Male,Less Chance,Not Selected
BCD,476.0,57.25,Less Chance,Private,476.0,Male,Less Chance,Not Selected
BCD,451.0,54.48,Less Chance,Private,453.0,Female,Less Chance,Not Selected
BCB,417.0,50.9,Less Chance,Government,421.0,Male,Less Chance,Not Selected
BCD,418.0,50.76,Less Chance,Government,422.0,Male,Less Chance,Not Selected
BCD,439.0,53.52,Less Chance,Government,445.0,Female,Less Chance,Not Selected
OC,592.0,95.0,High Chance,Government,596.0,Male,High Chance,Selected
BCD,543.0,65.31,Moderate Chance,Private,543.0,Male,Less Chance,Not Selected
BCD,517.0,62.66,Moderate Chance,Government,521.0,Male,Less Chance,Not Selected
BCD,597.0,103.33,High Chance,Government,603.0,Female,High Chance,Selected
EWS,468.0,57.21,Less Chance,Government,474.0,Female,Less Chance,Not Selected
BCB,572.0,69.15,Moderate Chance,Private,572.0,Male,Moderate Chance,Not Selected
BCB,546.0,66.74,Moderate Chance,Government,552.0,Female,Less Chance,Not Selected
BCD,453.0,54.97,Less Chance,Government,457.0,Male,Less Chance,Not Selected
OC,455.0,55.26,Less Chance,Government,461.0,Female,Less Chance,Not Selected
BCA,569.0,69.16,Moderate Chance,Government,573.0,Male,Moderate Chance,Not Selected
BCD,571.0,69.16,Moderate Chance,Government,575.0,Male,Moderate Chance,Not Selected
BCA,540.0,65.9,Moderate Chance,Government,546.0,Female,Less Chance,Not Selected
BCB,480.0,58.76,Less Chance,Government,486.0,Female,Less Chance,Not Selected
BCA,547.0,66.5,Moderate Chance,Government,551.0,Male,Less Chance,Not Selected
BCA,444.0,54.31,Less Chance,Government,450.0,Female,Less Chance,Not Selected
BCD,444.0,53.88,Less Chance,Government,448.0,Male,Less Chance,Not Selected
BCB,582.0,86.67,High Chance,Government,586.0,Male,High Chance,Selected
BCA,597.0,101.0,High Chance,Government,601.0,Male,High Chance,Selected
BCA,431.0,52.74,Less Chance,Government,437.0,Female,Less Chance,Not Selected
BCD,431.0,52.08,Less Chance,Private,433.0,Female,Less Chance,Not Selected
BCA,440.0,53.83,Less Chance,Government,446.0,Female,Less Chance,Not Selected
BCD,546.0,66.39,Moderate Chance,Government,552.0,Female,Less Chance,Not Selected
BCA,482.0,58.9,Less Chance,Government,488.0,Female,Less Chance,Not Selected
BCA,474.0,57.69,Less Chance,Government,478.0,Male,Less Chance,Not Selected
BCA,593.0,99.0,High Chance,Government,599.0,Female,High Chance,Selected
BCD,595.0,98.89,High Chance,Government,599.0,Male,High Chance,Selected
BCB,586.0,90.48,High Chance,Government,590.0,Male,High Chance,Selected
BCD,521.0,63.14,Moderate Chance,Government,525.0,Male,Less Chance,Not Selected
EWS,595.0,97.0,High Chance,Private,597.0,Female,High Chance,Selected
BCB,408.0,49.81,Less Chance,Government,412.0,Male,Less Chance,Not Selected
BCD,568.0,68.32,Moderate Chance,Private,568.0,Male,Moderate Chance,Not Selected
BCA,531.0,64.57,Moderate Chance,Government,535.0,Male,Less Chance,Not Selected
BCD,480.0,58.45,Less Chance,Government,486.0,Female,Less Chance,Not Selected
BCD,520.0,63.02,Moderate Chance,Government,524.0,Male,Less Chance,Not Selected
BCD,574.0,69.76,Moderate Chance,Government,580.0,Female,Moderate Chance,Not Selected
OC,422.0,51.06,Less Chance,Government,426.0,Male,Less Chance,Not Selected
BCA,436.0,53.1,Less Chance,Government,440.0,Male,Less Chance,Not Selected
BCB,438.0,53.44,Less Chance,Government,442.0,Male,Less Chance,Not Selected
BCD,523.0,63.63,Moderate Chance,Government,529.0,Female,Less Chance,Not Selected
BCB,571.0,69.76,Moderate Chance,Government,577.0,Female,Moderate Chance,Not Selected
BCD,461.0,56.17,Less Chance,Government,467.0,Female,Less Chance,Not Selected
BCB,473.0,57.91,Less Chance,Government,479.0,Female,Less Chance,Not Selected
EWS,417.0,50.33,Less Chance,Private,417.0,Male,Less Chance,Not Selected
BCA,415.0,50.57,Less Chance,Government,419.0,Male,Less Chance,Not Selected
EWS,402.0,49.24,Less Chance,Government,408.0,Female,Less Chance,Not Selected
BCA,482.0,58.9,Less Chance,Government,488.0,Female,Less Chance,Not Selected
BCD,432.0,52.68,Less Chance,Government,438.0,Female,Less Chance,Not Selected
BCD,508.0,61.82,Moderate Chance,Government,514.0,Female,Less Chance,Not Selected
EWS,492.0,59.86,Less Chance,Government,496.0,Male,Less Chance,Not Selected
BCA,426.0,52.14,Less Chance,Government,432.0,Female,Less Chance,Not Selected
BCD,535.0,65.07,Moderate Chance,Government,541.0,Female,Less Chance,Not Selected
BCD,527.0,63.87,Moderate Chance,Government,531.0,Male,Less Chance,Not Selected
BCD,596.0,102.22,High Chance,Government,602.0,Female,High Chance,Selected
BCB,599.0,102.86,High Chance,Government,603.0,Male,High Chance,Selected
OC,491.0,59.09,Less Chance,Private,493.0,Female,Less Chance,Not Selected
BCD,483.0,58.81,Less Chance,Government,489.0,Female,Less Chance,Not Selected
EWS,460.0,55.52,Less Chance,Private,460.0,Male,Less Chance,Not Selected
BCD,500.0,60.38,Moderate Chance,Private,502.0,Female,Less Chance,Not Selected
EWS,579.0,81.0,Moderate Chance,Private,581.0,Female,High Chance,Selected
BCD,549.0,66.75,Moderate Chance,Government,555.0,Female,Less Chance,Not Selected
BCA,524.0,63.97,Moderate Chance,Government,530.0,Female,Less Chance,Not Selected
BCD,435.0,52.8,Less Chance,Government,439.0,Male,Less Chance,Not Selected
BCB,574.0,69.88,Moderate Chance,Government,578.0,Male,Moderate Chance,Not Selected
BCD,528.0,64.23,Moderate Chance,Government,534.0,Female,Less Chance,Not Selected
BCD,461.0,55.93,Less Chance,Government,465.0,Male,Less Chance,Not Selected
BCA,429.0,52.5,Less Chance,Government,435.0,Female,Less Chance,Not Selected
BCA,426.0,51.9,Less Chance,Government,430.0,Male,Less Chance,Not Selected
BCD,592.0,97.78,High Chance,Government,598.0,Female,High Chance,Selected
BCD,449.0,54.48,Less Chance,Government,453.0,Male,Less Chance,Not Selected
BCD,499.0,60.74,Moderate Chance,Government,505.0,Female,Less Chance,Not Selected
BCB,537.0,65.65,Moderate Chance,Government,543.0,Female,Less Chance,Not Selected
BCD,494.0,60.14,Less Chance,Government,500.0,Female,Less Chance,Not Selected
BCA,413.0,50.57,Less Chance,Government,419.0,Female,Less Chance,Not Selected
BCA,466.0,56.97,Less Chance,Government,472.0,Female,Less Chance,Not Selected
BCD,462.0,55.81,Less Chance,Private,464.0,Female,Less Chance,Not Selected
BCD,570.0,69.28,Moderate Chance,Government,576.0,Female,Moderate Chance,Not Selected
BCD,486.0,58.93,Less Chance,Government,490.0,Male,Less Chance,Not Selected
BCD,519.0,62.66,Moderate Chance,Private,521.0,Female,Less Chance,Not Selected
EWS,441.0,53.71,Less Chance,Government,445.0,Male,Less Chance,Not Selected
BCD,592.0,97.78,High Chance,Government,598.0,Female,High Chance,Selected
BCA,476.0,58.17,Less Chance,Government,482.0,Female,Less Chance,Not Selected
BCD,549.0,66.51,Moderate Chance,Government,553.0,Male,Less Chance,Not Selected
BCD,405.0,49.19,Less Chance,Government,409.0,Male,Less Chance,Not Selected
BCB,579.0,81.9,High Chance,Private,581.0,Female,High Chance,Selected
BCD,593.0,96.67,High Chance,Government,597.0,Male,High Chance,Selected
EWS,513.0,62.64,Moderate Chance,Government,519.0,Female,Less Chance,Not Selected
BCD,520.0,63.02,Moderate Chance,Government,524.0,Male,Less Chance,Not Selected
BCD,534.0,64.95,Moderate Chance,Government,540.0,Female,Less Chance,Not Selected
BCA,410.0,50.21,Less Chance,Government,416.0,Female,Less Chance,Not Selected
BCD,553.0,66.99,Moderate Chance,Government,557.0,Male,Less Chance,Not Selected
BCD,506.0,61.34,Moderate Chance,Government,510.0,Male,Less Chance,Not Selected
BCB,556.0,67.7,Moderate Chance,Government,560.0,Male,Moderate Chance,Not Selected
BCD,460.0,55.81,Less Chance,Government,464.0,Male,Less Chance,Not Selected
EWS,541.0,65.78,Moderate Chance,Government,545.0,Male,Less Chance,Not Selected
BCD,401.0,48.95,Less Chance,Government,407.0,Female,Less Chance,Not Selected
EWS,591.0,91.0,High Chance,Private,591.0,Male,High Chance,Selected
BCD,599.0,98.89,High Chance,Private,599.0,Male,High Chance,Selected
BCE,478.0,58.82,Less Chance,Government,484.0,Female,Less Chance,Not Selected
EWS,403.0,49.12,Less Chance,Government,407.0,Male,Less Chance,Not Selected
BCD,437.0,53.28,Less Chance,Government,443.0,Female,Less Chance,Not Selected
OC,411.0,49.74,Less Chance,Government,415.0,Male,Less Chance,Not Selected
BCD,475.0,57.85,Less Chance,Government,481.0,Female,Less Chance,Not Selected
BCB,405.0,49.45,Less Chance,Government,409.0,Male,Less Chance,Not Selected
BCD,483.0,58.81,Less Chance,Government,489.0,Female,Less Chance,Not Selected
BCA,450.0,55.03,Less Chance,Government,456.0,Female,Less Chance,Not Selected
BCD,529.0,64.11,Moderate Chance,Government,533.0,Male,Less Chance,Not Selected
BCB,582.0,86.67,High Chance,Government,586.0,Male,High Chance,Selected
BCD,505.0,61.46,Moderate Chance,Government,511.0,Female,Less Chance,Not Selected
BCD,580.0,80.0,Moderate Chance,Private,582.0,Female,High Chance,Selected
BCB,435.0,52.83,Less Chance,Private,437.0,Female,Less Chance,Not Selected
BCD,557.0,67.71,Moderate Chance,Government,563.0,Female,Moderate Chance,Not Selected
EWS,411.0,50.09,Less Chance,Government,415.0,Male,Less Chance,Not Selected
BCA,542.0,66.14,Moderate Chance,Government,548.0,Female,Less Chance,Not Selected
BCD,464.0,56.29,Less Chance,Government,468.0,Male,Less Chance,Not Selected
OC,574.0,69.28,Moderate Chance,Government,578.0,Male,Moderate Chance,Not Selected
ST,564.0,84.0,High Chance,Government,568.0,Male,High Chance,Selected
BCB,459.0,55.98,Less Chance,Government,463.0,Male,Less Chance,Not Selected
BCD,585.0,90.0,High Chance,Government,591.0,Female,High Chance,Selected
EWS,440.0,53.59,Less Chance,Government,444.0,Male,Less Chance,Not Selected
SC,477.0,59.01,Less Chance,Government,483.0,Female,Less Chance,Not Selected
BCD,464.0,56.05,Less Chance,Private,466.0,Female,Less Chance,Not Selected
BCB,441.0,53.32,Less Chance,Private,441.0,Male,Less Chance,Not Selected
EWS,421.0,50.81,Less Chance,Private,421.0,Male,Less Chance,Not Selected
BCD,429.0,52.08,Less Chance,Government,433.0,Male,Less Chance,Not Selected
BCD,439.0,53.28,Less Chance,Government,443.0,Male,Less Chance,Not Selected
BCD,544.0,65.91,Moderate Chance,Government,548.0,Male,Less Chance,Not Selected
BCB,545.0,65.89,Moderate Chance,Private,545.0,Male,Less Chance,Not Selected
BCD,577.0,81.11,Moderate Chance,Government,583.0,Female,High Chance,Selected
BCB,458.0,55.61,Less Chance,Private,460.0,Female,Less Chance,Not Selected
BCD,532.0,63.99,Moderate Chance,Private,532.0,Male,Less Chance,Not Selected
BCD,572.0,69.28,Moderate Chance,Government,576.0,Male,Moderate Chance,Not Selected
EWS,521.0,63.36,Moderate Chance,Government,525.0,Male,Less Chance,Not Selected
BCD,457.0,55.69,Less Chance,Government,463.0,Female,Less Chance,Not Selected
BCD,407.0,49.67,Less Chance,Government,413.0,Female,Less Chance,Not Selected
EWS,498.0,60.83,Moderate Chance,Government,504.0,Female,Less Chance,Not Selected
ST,466.0,58.75,Less Chance,Government,470.0,Male,Less Chance,Not Selected
BCD,537.0,65.07,Moderate Chance,Government,541.0,Male,Less Chance,Not Selected
BCB,540.0,65.28,Moderate Chance,Private,540.0,Male,Less Chance,Not Selected
BCD,428.0,51.96,Less Chance,Government,432.0,Male,Less Chance,Not Selected
BCA,568.0,69.28,Moderate Chance,Government,574.0,Female,Moderate Chance,Not Selected
BCD,472.0,56.77,Less Chance,Private,472.0,Male,Less Chance,Not Selected
BCB,482.0,58.76,Less Chance,Government,486.0,Male,Less Chance,Not Selected
BCD,449.0,54.0,Less Chance,Private,449.0,Male,Less Chance,Not Selected
BCD,476.0,57.97,Less Chance,Government,482.0,Female,Less Chance,Not Selected
BCD,557.0,67.71,Moderate Chance,Government,563.0,Female,Moderate Chance,Not Selected
BCB,539.0,65.41,Moderate Chance,Private,541.0,Female,Less Chance,Not Selected
OC,514.0,62.33,Moderate Chance,Government,520.0,Female,Less Chance,Not Selected
EWS,495.0,60.47,Less Chance,Government,501.0,Female,Less Chance,Not Selected
BCD,506.0,61.58,Moderate Chance,Government,512.0,Female,Less Chance,Not Selected
OC,425.0,51.42,Less Chance,Government,429.0,Male,Less Chance,Not Selected
BCD,437.0,53.04,Less Chance,Government,441.0,Male,Less Chance,Not Selected
BCB,455.0,55.73,Less Chance,Government,461.0,Female,Less Chance,Not Selected
BCD,585.0,87.78,High Chance,Government,589.0,Male,High Chance,Selected
BCA,466.0,56.97,Less Chance,Government,472.0,Female,Less Chance,Not Selected
BCB,598.0,103.81,High Chance,Government,604.0,Female,High Chance,Selected
BCD,414.0,50.27,Less Chance,Government,418.0,Male,Less Chance,Not Selected
BCD,573.0,69.4,Moderate Chance,Government,577.0,Male,Moderate Chance,Not Selected
BCB,541.0,66.13,Moderate Chance,Government,547.0,Female,Less Chance,Not Selected
EWS,572.0,69.52,Moderate Chance,Government,576.0,Male,Moderate Chance,Not Selected
BCD,434.0,52.68,Less Chance,Government,438.0,Male,Less Chance,Not Selected
BCD,497.0,60.5,Less Chance,Government,503.0,Female,Less Chance,Not Selected
BCD,588.0,91.11,High Chance,Government,592.0,Male,High Chance,Selected
BCB,563.0,68.31,Moderate Chance,Private,565.0,Female,Moderate Chance,Not Selected
BCA,515.0,62.64,Moderate Chance,Government,519.0,Male,Less Chance,Not Selected
BCD,448.0,54.6,Less Chance,Government,454.0,Female,Less Chance,Not Selected
EWS,564.0,68.55,Moderate Chance,Government,568.0,Male,Moderate Chance,Not Selected
BCD,594.0,93.33,High Chance,Private,594.0,Male,High Chance,Selected
BCA,578.0,82.0,Moderate Chance,Government,582.0,Male,High Chance,Selected
BCD,473.0,57.61,Less Chance,Government,479.0,Female,Less Chance,Not Selected
OC,424.0,51.06,Less Chance,Private,426.0,Female,Less Chance,Not Selected
BCD,407.0,49.67,Less Chance,Government,413.0,Female,Less Chance,Not Selected
BCB,433.0,52.35,Less Chance,Private,433.0,Male,Less Chance,Not Selected
EWS,595.0,97.0,High Chance,Private,597.0,Female,High Chance,Selected
BCD,505.0,61.22,Moderate Chance,Government,509.0,Male,Less Chance,Not Selected
OC,471.0,56.93,Less Chance,Government,475.0,Male,Less Chance,Not Selected
BCA,568.0,69.03,Moderate Chance,Government,572.0,Male,Moderate Chance,Not Selected
BCB,568.0,68.91,Moderate Chance,Private,570.0,Female,Moderate Chance,Not Selected
BCD,424.0,51.48,Less Chance,Government,428.0,Male,Less Chance,Not Selected
BCD,596.0,102.22,High Chance,Government,602.0,Female,High Chance,Selected
BCD,573.0,68.92,Moderate Chance,Private,573.0,Male,Moderate Chance,Not Selected
BCD,478.0,58.21,Less Chance,Government,484.0,Female,Less Chance,Not Selected
BCD,508.0,61.58,Moderate Chance,Government,512.0,Male,Less Chance,Not Selected
BCB,544.0,66.49,Moderate Chance,Government,550.0,Female,Less Chance,Not Selected
BCD,566.0,68.32,Moderate Chance,Private,568.0,Female,Moderate Chance,Not Selected
BCD,419.0,51.12,Less Chance,Government,425.0,Female,Less Chance,Not Selected
BCB,471.0,57.18,Less Chance,Private,473.0,Female,Less Chance,Not Selected
BCD,433.0,52.56,Less Chance,Government,437.0,Male,Less Chance,Not Selected
BCD,587.0,87.78,High Chance,Private,589.0,Female,High Chance,Selected
BCA,547.0,66.5,Moderate Chance,Government,551.0,Male,Less Chance,Not Selected
BCD,587.0,92.22,High Chance,Government,593.0,Female,High Chance,Selected
BCD,505.0,61.22,Moderate Chance,Government,509.0,Male,Less Chance,Not Selected
BCB,595.0,97.14,High Chance,Private,597.0,Female,High Chance,Selected
EWS,484.0,58.9,Less Chance,Government,488.0,Male,Less Chance,Not Selected
BCB,474.0,57.31,Less Chance,Private,474.0,Male,Less Chance,Not Selected
EWS,528.0,64.45,Moderate Chance,Government,534.0,Female,Less Chance,Not Selected
BCD,525.0,63.87,Moderate Chance,Government,531.0,Female,Less Chance,Not Selected
BCD,424.0,51.48,Less Chance,Government,428.0,Male,Less Chance,Not Selected
BCB,588.0,94.29,High Chance,Government,594.0,Female,High Chance,Selected
BCD,443.0,54.0,Less Chance,Government,449.0,Female,Less Chance,Not Selected
EWS,503.0,61.19,Moderate Chance,Government,507.0,Male,Less Chance,Not Selected
BCD,544.0,66.15,Moderate Chance,Government,550.0,Female,Less Chance,Not Selected
BCD,546.0,65.91,Moderate Chance,Private,548.0,Female,Less Chance,Not Selected
BCB,500.0,60.93,Moderate Chance,Government,504.0,Male,Less Chance,Not Selected
BCA,568.0,69.28,Moderate Chance,Government,574.0,Female,Moderate Chance,Not Selected
BCA,446.0,54.31,Less Chance,Government,450.0,Male,Less Chance,Not Selected
BCD,559.0,67.71,Moderate Chance,Government,563.0,Male,Moderate Chance,Not Selected
EWS,554.0,67.34,Moderate Chance,Government,558.0,Male,Moderate Chance,Not Selected
BCA,416.0,50.69,Less Chance,Government,420.0,Male,Less Chance,Not Selected
BCD,535.0,65.07,Moderate Chance,Government,541.0,Female,Less Chance,Not Selected
EWS,540.0,65.66,Moderate Chance,Government,544.0,Male,Less Chance,Not Selected
BCA,566.0,68.55,Moderate Chance,Private,568.0,Female,Moderate Chance,Not Selected
BCB,477.0,58.39,Less Chance,Government,483.0,Female,Less Chance,Not Selected
EWS,528.0,64.21,Moderate Chance,Government,532.0,Male,Less Chance,Not Selected
BCD,572.0,69.52,Moderate Chance,Government,578.0,Female,Moderate Chance,Not Selected
BCA,578.0,84.0,Moderate Chance,Government,584.0,Female,High Chance,Selected
BCD,471.0,56.65,Less Chance,Private,471.0,Male,Less Chance,Not Selected
BCA,507.0,61.91,Moderate Chance,Government,513.0,Female,Less Chance,Not Selected
SC,429.0,53.14,Less Chance,Government,435.0,Female,Less Chance,Not Selected
BCB,483.0,58.88,Less Chance,Government,487.0,Male,Less Chance,Not Selected
BCD,463.0,56.41,Less Chance,Government,469.0,Female,Less Chance,Not Selected
BCA,495.0,60.47,Less Chance,Government,501.0,Female,Less Chance,Not Selected
BCD,555.0,66.75,Moderate Chance,Private,555.0,Male,Less Chance,Not Selected
BCA,529.0,64.57,Moderate Chance,Government,535.0,Female,Less Chance,Not Selected
EWS,476.0,58.17,Less Chance,Government,482.0,Female,Less Chance,Not Selected
BCA,408.0,49.24,Less Chance,Private,408.0,Male,Less Chance,Not Selected
BCB,418.0,51.26,Less Chance,Government,424.0,Female,Less Chance,Not Selected
BCA,474.0,57.21,Less Chance,Private,474.0,Male,Less Chance,Not Selected
EWS,406.0,49.72,Less Chance,Government,412.0,Female,Less Chance,Not Selected
BCA,544.0,65.9,Moderate Chance,Private,546.0,Female,Less Chance,Not Selected
BCB,461.0,55.73,Less Chance,Private,461.0,Male,Less Chance,Not Selected
BCB,557.0,68.07,Moderate Chance,Government,563.0,Female,Moderate Chance,Not Selected
BCE,415.0,50.92,Less Chance,Government,419.0,Male,Less Chance,Not Selected
EWS,598.0,102.0,High Chance,Government,602.0,Male,High Chance,Selected
BCB,435.0,53.07,Less Chance,Government,439.0,Male,Less Chance,Not Selected
BCA,478.0,58.17,Less Chance,Government,482.0,Male,Less Chance,Not Selected
BCB,472.0,57.31,Less Chance,Private,474.0,Female,Less Chance,Not Selected
EWS,501.0,61.19,Moderate Chance,Government,507.0,Female,Less Chance,Not Selected
BCA,432.0,52.86,Less Chance,Government,438.0,Female,Less Chance,Not Selected
BCB,584.0,88.57,High Chance,Government,588.0,Male,High Chance,Selected
EWS,531.0,64.81,Moderate Chance,Government,537.0,Female,Less Chance,Not Selected
BCB,421.0,51.38,Less Chance,Government,425.0,Male,Less Chance,Not Selected
BCB,497.0,60.57,Moderate Chance,Government,501.0,Male,Less Chance,Not Selected
EWS,414.0,50.21,Less Chance,Private,416.0,Female,Less Chance,Not Selected
BCB,533.0,65.16,Moderate Chance,Government,539.0,Female,Less Chance,Not Selected
SC,529.0,64.87,Moderate Chance,Private,531.0,Female,Less Chance,Not Selected
EWS,481.0,58.05,Less Chance,Private,481.0,Male,Less Chance,Not Selected
OC,428.0,51.78,Less Chance,Government,432.0,Male,Less Chance,Not Selected
BCA,503.0,61.43,Moderate Chance,Government,509.0,Female,Less Chance,Not Selected
BCB,427.0,52.35,Less Chance,Government,433.0,Female,Less Chance,Not Selected
BCA,512.0,62.28,Moderate Chance,Government,516.0,Male,Less Chance,Not Selected
EWS,531.0,64.81,Moderate Chance,Government,537.0,Female,Less Chance,Not Selected
EWS,496.0,59.86,Less Chance,Private,496.0,Male,Less Chance,Not Selected
BCA,538.0,65.66,Moderate Chance,Government,544.0,Female,Less Chance,Not Selected
SC,441.0,54.12,Less Chance,Private,443.0,Female,Less Chance,Not Selected
BCB,424.0,51.74,Less Chance,Government,428.0,Male,Less Chance,Not Selected
EWS,552.0,67.1,Moderate Chance,Government,556.0,Male,Moderate Chance,Not Selected
BCA,412.0,49.72,Less Chance,Private,412.0,Male,Less Chance,Not Selected
SC,538.0,66.21,Moderate Chance,Government,542.0,Male,Less Chance,Not Selected
BCE,539.0,66.23,Moderate Chance,Government,545.0,Female,Less Chance,Not Selected
SC,413.0,50.7,Less Chance,Private,415.0,Female,Less Chance,Not Selected
BCA,417.0,51.05,Less Chance,Government,423.0,Female,Less Chance,Not Selected
